Transaction ID,Customer ID,Date,Amount,Product
T00001,C7271,2023-04-19,362.9596769691041,Chair
T00002,C0861,2023-06-14,454.65327501159817,Mouse
T00003,C5391,2023-09-16,351.32006572166085,Laptop
T00004,C5192,2023-03-17,488.41090970017837,Monitor
T00005,C5735,2023-01-07,501.4186690191445,Laptop
T00006,C6266,2023-07-05,636.1015327699662,Cable
T00007,C0467,2023-10-03,,Desk
T00008,C4427,2023-03-20,235.8254452627278,Cable
T00009,C5579,2023-03-06,402.89096743076294,Desk
T00010,C8323,2023-04-25,328.3303472032179,Desk
T00011,C1686,2023-07-21,572.5151183250165,Chair
T00012,C0770,2023-05-22,729.1527894703878,Desk
T00013,C6950,2023-04-08,719.7624189625363,Speaker
T00014,C2434,2023-11-01,892.7007513349683,Cable
T00015,C5312,2023-08-05,213.37224359419153,Speaker
T00016,C5052,2023-03-15,508.27231175158767,Desk
T00017,C6421,,628.0693230179343,Desk
T00018,C1185,2023-05-14,520.3310123404561,Monitor
T00019,C4556,2023-09-19,644.2734914768785,Monitor
T00020,C3386,2023-10-11,858.7143987801528,Mouse
T00021,C6397,2023-04-12,101.05455228655156,Laptop
T00022,C8667,2023-07-25,379.04705069750037,Headphones
T00023,C9275,2023-05-21,510.3111175450563,Cable
T00024,C2559,2023-01-13,528.0032509113422,Cable
T00025,C7850,2023-09-06,22.120568201820248,Laptop
T00026,C2048,2023-05-03,581.1834027156281,Desk
T00027,C2748,2023-01-10,698.9043782118114,Chair
T00028,C9168,2023-03-21,395.746052690148,Mouse
T00029,C9999,2023-06-16,,Monitor
T00030,C0190,,683.6150984705241,Speaker
T00031,C2735,2023-07-26,633.9710248115217,Mouse
T00032,C3006,2023-05-31,,Chair
T00033,C4659,2023-02-06,981.2949569183678,Keyboard
T00034,C1900,2023-09-21,470.42198359835237,Monitor
T00035,C7735,2023-12-08,44.75558249892322,Headphones
T00036,C1268,2023-01-05,83.33696003508754,Keyboard
T00037,C1529,2023-08-14,342.61401531706775,Speaker
T00038,C3557,2023-01-27,50.86016183137103,Keyboard
T00039,C3891,2023-05-04,176.83439031711006,Webcam
T00040,C8839,2023-10-26,681.0732436711479,Keyboard
T00041,C5394,2023-02-04,349.1674280573072,Webcam
T00042,C8793,2023-08-25,417.7482867317683,Webcam
T00043,C8434,2023-11-07,953.2108091830389,Desk
T00044,C7514,2023-11-13,649.1521131405115,Webcam
T00045,C2613,2023-10-30,298.88970462146176,Mouse
T00046,C7042,2023-04-12,347.3621799337837,Chair
T00047,C9556,2023-03-18,946.058017743918,Webcam
T00048,C6236,2023-11-08,451.4624059368578,Keyboard
T00049,C5487,2023-03-23,442.9544564867995,Mouse
