Date,Temperature,Humidity,Wind Speed,Precipitation
2023-10-01,72,60,5.2,0.0
2023-10-02,68,65,7.1,0.0
2023-10-03,75,55,6.4,0.0
2023-10-04,70,70,4.8,0.2
2023-10-05,65,75,8.0,0.5
2023-10-06,69,68,5.3,0.1
2023-10-07,73,62,4.9,0.0
2023-10-08,76,58,6.0,0.0
2023-10-09,71,72,7.5,0.3
2023-10-10,67,74,8.2,0.6
2023-10-11,74,61,5.8,0.0
2023-10-12,77,59,6.7,0.0
2023-10-13,72,66,5.1,0.1
2023-10-14,68,71,7.3,0.4
2023-10-15,66,76,8.5,0.7
2023-10-16,70,69,5.9,0.2
2023-10-17,73,63,6.2,0.0
2023-10-18,75,60,5.5,0.0
2023-10-19,71,67,6.8,0.3
2023-10-20,69,70,7.0,0.5
2023-10-21,74,64,5.7,0.0
2023-10-22,76,58,6.3,0.0
2023-10-23,70,72,7.6,0.4
2023-10-24,68,75,8.1,0.6
2023-10-25,67,73,5.4,0.1
2023-10-26,72,65,6.9,0.2
2023-10-27,75,62,5.0,0.0
2023-10-28,73,66,6.5,0.0
2023-10-29,70,71,7.4,0.3
2023-10-30,69,74,8.3,0.5
2023-10-31,74,63,5.6,0.0
2023-11-01,76,60,6.1,0.0
2023-11-02,71,68,7.2,0.4
2023-11-03,68,73,8.4,0.7
2023-11-04,67,75,5.8,0.1
2023-11-05,70,72,6.7,0.2
2023-11-06,73,64,5.2,0.0
2023-11-07,75,61,6.6,0.0
2023-11-08,72,67,7.0,0.3
2023-11-09,69,70,8.2,0.5
2023-11-10,74,65,5.9,0.0
2023-11-11,76,62,6.4,0.0
2023-11-12,71,69,7.3,0.4
2023-11-13,68,74,8.5,0.6
2023-11-14,67,76,5.7,0.1
2023-11-15,70,73,6.8,0.2
2023-11-16,73,66,5.3,0.0
2023-11-17,75,63,6.9,0.0
2023-11-18,72,68,7.1,0.3
2023-11-20,74,64,5.5,0.0
